USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
andrey    1549  0.0  0.2  45332  5456 ?        Ssl  23:17   0:00         /usr/lib/i386-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
andrey    1552  0.0  0.3  47828  7256 ?        Ssl  23:17   0:00         /usr/lib/i386-linux-gnu/indicator-power/indicator-power-service
andrey    1559  0.0  0.6 134088 13748 ?        Ssl  23:17   0:00         /usr/lib/i386-linux-gnu/indicator-datetime/indicator-datetime-service
andrey    1563  0.0  1.1 120948 22260 ?        Ssl  23:17   0:00         /usr/lib/i386-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
andrey    1566  0.0  0.4 315128  9568 ?        Ssl  23:17   0:00         /usr/lib/i386-linux-gnu/indicator-sound/indicator-sound-service
andrey    1569  0.0  1.0  77052 21796 ?        Ssl  23:17   0:00         /usr/lib/i386-linux-gnu/indicator-printers/indicator-printers-service
andrey    1573  0.0  0.3  70788  6176 ?        Ssl  23:17   0:00         /usr/lib/i386-linux-gnu/indicator-session/indicator-session-service
andrey    1583  0.0  1.0 116656 20484 ?        Sl   23:17   0:00         /usr/lib/evolution/evolution-source-registry
andrey    1588  0.0  0.5  66192 11576 ?        Ssl  23:17   0:00         /usr/lib/i386-linux-gnu/indicator-application/indicator-application-service
andrey    1611  0.0  0.6 212448 12496 ?        S<l  23:17   0:00         /usr/bin/pulseaudio --start --log-target=syslog
andrey    1655 10.8  7.3 325196 146604 ?       Rsl  23:17   1:16         compiz
andrey    1664  0.1  2.2 164896 45140 ?        Sl   23:17   0:01         /usr/lib/evolution/evolution-calendar-factory
andrey    1700  0.1  1.7 150072 35892 ?        Sl   23:17   0:00           /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1664x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1664/2
andrey    1756  0.1  1.7 148588 34768 ?        Sl   23:18   0:00           /usr/lib/evolution/evolution-calendar-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1664x3 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1664/3
andrey    1729  0.0  0.3  40212  6928 ?        Sl   23:18   0:00         /usr/lib/gvfs/gvfs-udisks2-volume-monitor
andrey    1754  0.0  0.8 119068 16040 ?        Sl   23:18   0:00         /usr/lib/evolution/evolution-addressbook-factory
andrey    1819  0.0  0.7 125804 15384 ?        Sl   23:18   0:00           /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx1754x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/1754/2
andrey    1788  0.0  0.2  37108  4780 ?        Sl   23:18   0:00         /usr/lib/gvfs/gvfs-mtp-volume-monitor
andrey    1805  0.0  0.2  37088  4328 ?        Sl   23:18   0:00         /usr/lib/gvfs/gvfs-goa-volume-monitor
andrey    1828  0.0  0.2  80064  5832 ?        Sl   23:18   0:00         /usr/lib/gvfs/gvfs-afc-volume-monitor
andrey    1847  0.0  0.2  38340  5236 ?        Sl   23:18   0:00         /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
andrey    1880  0.0  0.0   2372   604 ?        S    23:18   0:00         /bin/sh -c /usr/lib/i386-linux-gnu/zeitgeist/zeitgeist-maybe-vacuum; /usr/bin/zeitgeist-daemon
andrey    1884  0.0  0.3  52160  6776 ?        Sl   23:18   0:00           /usr/bin/zeitgeist-daemon
andrey    1906  0.0  0.6  70744 13144 ?        Sl   23:18   0:00         /usr/lib/i386-linux-gnu/zeitgeist-fts
andrey    1914  0.0  0.2  47928  5932 ?        Sl   23:18   0:00         /usr/lib/gvfs/gvfsd-trash --spawner :1.7 /org/gtk/gvfs/exec_spaw/0
andrey    1957  0.0  0.0  25332   584 ?        Ss   23:18   0:00         gpg-agent --homedir /home/andrey/.gnupg --use-standard-socket --daemon
andrey    2228  0.0  0.2  29080  5304 ?        Sl   23:26   0:00         /usr/lib/gvfs/gvfsd-metadata
andrey    2250  0.0  0.3  56488  6356 ?        Sl   23:26   0:00         /usr/lib/gvfs/gvfsd-network --spawner :1.7 /org/gtk/gvfs/exec_spaw/2
andrey    2274  0.0  0.3  49088  6692 ?        Sl   23:27   0:00         /usr/lib/gvfs/gvfsd-dnssd --spawner :1.7 /org/gtk/gvfs/exec_spaw/5
andrey    2301  1.8  1.5 119288 31416 ?        Sl   23:27   0:02         /usr/lib/gnome-terminal/gnome-terminal-server
andrey    2308  0.1  0.2   8056  4420 pts/4    Ss+  23:27   0:00           bash
andrey    2334  0.1  0.2   8052  4392 pts/6    Ss+  23:28   0:00           bash
andrey    2347  0.0  0.0   2324    68 ?        Ss   23:28   0:00         ./daemon path.txt
andrey    2352  0.0  0.1   9136  3388 ?        R    23:29   0:00           /bin/ps aux -H
whoopsie   884  0.0  0.5  58336 11032 ?        Ssl  23:16   0:00   /usr/bin/whoopsie -f
root       898  0.0  0.0   4752  1668 tty1     Ss+  23:16   0:00   /sbin/agetty --noclear tty1 linux
rtkit     1095  0.0  0.1  23792  2884 ?        SNsl 23:16   0:00   /usr/lib/rtkit/rtkit-daemon
